Dynasties,start year,end year,emperor,emperor asuntion,emperor death,personal name,link,events
Qing,1644,1912,Xuantong,1908,1912,,,
Qing,1644,1912,Guangxu,1875,1908,,,
Qing,1644,1912,Tongzhi,1861,1875,,,
Qing,1644,1912,Xianfeng,1850,1861,,,
Qing,1644,1912,Daoguang,1820,1850,,,
Qing,1644,1912,Jiaqing,1796,1820,,,
Qing,1644,1912,Qianlong,1735,1796,,,
Qing,1644,1912,Yongzheng,1722,1735,,,
Qing,1644,1912,Kangxi,1661,1722,,,
Qing,1644,1912,Shunzhi,1644,1661,,,
Tungning,1661,1683,,,,,,
Southern Ming,1644,1662,,,,,,
Ming,1368,1644,Chongzhen,1627,1644,,,
Ming,1368,1644,Tianqi,1620,1627,,,
Ming,1368,1644,Taichang,1620,1620,,,
Ming,1368,1644,Wanli,1572,1620,,,
Ming,1368,1644,Longqing,1567,1572,,,
Ming,1368,1644,Jiajing,1521,1567,,,
Ming,1368,1644,Zhengde,1505,1521,,,
Ming,1368,1644,Hongzhi,1487,1505,,,
Ming,1368,1644,Chenghua,1464,1487,,,
Ming,1368,1644,Yingzong,1457,1464,,,
Ming,1368,1644,Jingtai,1449,1457,,,
Ming,1368,1644,Yingzong,1435,1449,,,
Ming,1368,1644,Xuande,1425,1435,,,
Ming,1368,1644,Hongxi,1424,1425,,,
Ming,1368,1644,Yongle,1402,1424,,,
Ming,1368,1644,Jianwen,1398,1402,,,
Ming,1368,1644,Hongwu,1368,1398,,,
Northern Yuan,1368,1635,,,,,,
Yuan,1271,1368,Ukhaghatu Khan,1333,1368,,,
Yuan,1271,1368,Borjigin Rinchinbal,1332,1332,,,
Yuan,1271,1368,Jayaatu Khan,1329,1332,,,
Yuan,1271,1368,Khutughtu Khan,1329,1329,,,
Yuan,1271,1368,Jayaatu Khan,1328,1329,,,
Yuan,1271,1368,Borjigin Ragibagh,1328,1328,,,
Yuan,1271,1368,Borjigin Yesün Temür,1823,1828,,,
Yuan,1271,1368,Gegeen Khan,1320,1323,,,
Yuan,1271,1368,Buyantu Khan,1311,1320,,,
Yuan,1271,1368,Külüg Khan,1307,1311,,,
Yuan,1271,1368,Öljeytü Khan,1294,1307,,,
Yuan,1271,1368,Khubilai Khan,1271,1294,,,
Southern Song,1127,1279,,,,,,
Northern Song,960,1127,,,,,,