Year,Tournament Stage,Confederation,Teams
2022,Fase de Grupos,AFC,6
2022,Fase de Grupos,OFC,0
2022,Fase de Grupos,CAF,5
2022,Fase de Grupos,CONCACAF,4
2022,Fase de Grupos,CONMEBOL,4
2022,Fase de Grupos,UEFA,13
2022,Octavos de final,AFC,3
2022,Octavos de final,CAF,2
2022,Octavos de final,CONCACAF,1
2022,Octavos de final,UEFA,8
2022,Octavos de final,CONMEBOL,2
2022,Cuartos de final ,CAF,1
2022,Cuartos de final ,CONMEBOL,2
2022,Cuartos de final ,UEFA,5
2022,Semifinal ,CAF,1
2022,Semifinal ,CONMEBOL,1
2022,Semifinal ,UEFA,2
2022,Final,CONMEBOL,1
2022,Final,UEFA,1
2018,Fase de Grupos,AFC,6
2018,Fase de Grupos,OFC,0
2018,Fase de Grupos,CAF,5
2018,Fase de Grupos,CONCACAF,3
2018,Fase de Grupos,CONMEBOL,5
2018,Fase de Grupos,UEFA,14
2018,Octavos de final,AFC,1
2018,Octavos de final,CAF,0
2018,Octavos de final,CONCACAF,1
2018,Octavos de final,UEFA,10
2018,Octavos de final,CONMEBOL,4
2018,Cuartos de final ,CAF,0
2018,Cuartos de final ,CONMEBOL,2
2018,Cuartos de final ,UEFA,6
2018,Semifinal ,CAF,0
2018,Semifinal ,CONMEBOL,0
2018,Semifinal ,UEFA,4
2018,Final,CONMEBOL,0
2018,Final,UEFA,2
2014,Fase de Grupos,AFC,4
2014,Fase de Grupos,OFC,0
2014,Fase de Grupos,CAF,5
2014,Fase de Grupos,CONCACAF,4
2014,Fase de Grupos,CONMEBOL,6
2014,Fase de Grupos,UEFA,13
2014,Octavos de final,AFC,0
2014,Octavos de final,CAF,2
2014,Octavos de final,CONCACAF,3
2014,Octavos de final,UEFA,6
2014,Octavos de final,CONMEBOL,5
2014,Cuartos de final ,CAF,0
2014,Cuartos de final ,CONMEBOL,1
2014,Cuartos de final ,UEFA,4
2014,Semifinal ,CONMEBOL,2
2014,Semifinal ,UEFA,2
2014,Final,CONMEBOL,1
2014,Final,UEFA,1