section,year participation,gallery city,gallery name,artist,country artist,year artist,link,
Bawwaba,2019,Mandaue,856G Gallery,Kristoffer Ardeña,Philippines,1976,<https://www.artdubai.ae/gallery/856g-gallery-2019/>,
Bawwaba,2019,New York,Aicon Contemporary,Adeela Suleman,Pakistan,1970,<https://www.artdubai.ae/gallery/aicon-gallery-2019-2/>,
Bawwaba,2019,Paris,Galerie Anne-Sarah Bénichou,Chourouk Hriech,France,1977,<https://www.artdubai.ae/gallery/galerie-anne-sarah-benichou-2019/>,
Bawwaba,2019,Karachi,Canvas Gallery,Hamra Abbas,Kuwait,1976,<https://www.artdubai.ae/gallery/canvas-gallery-2019-2/>,
Bawwaba,2019,Kolkata,Experimenter,na,na,na,<https://www.artdubai.ae/gallery/experimenter-,2019/>
Bawwaba,2019,Addis Ababa,Guzo Art Projects,Wanja Kimani,Kenya,1986,<https://www.artdubai.ae/gallery/guzo-art-projects-,2019/>
Bawwaba,2019,Cairo,Gypsum Gallery,Gözde İlkin,Turkey,1981,<https://www.artdubai.ae/gallery/gypsum-gallery-,2019/>
Bawwaba,2019,Paris,Galerie Emmanuel Hervé,Sérgio Sister,Brazil,1948,<https://www.artdubai.ae/gallery/emmanuel-herve-,2019/>
Bawwaba,2019,Mumbai,Jhaveri Contemporary,Shezad Dawood,UK,1974,<https://www.artdubai.ae/gallery/jhaveri-contemporary-,2019/>
Bawwaba,2019,Lisbon,Perve Galería,José Chambel,São Tomé and Príncipe,1969,<https://www.artdubai.ae/gallery/perve-galeria-modern-,2019/>
Bawwaba,2019,São Paulo,Galeria Vermelho,Marcelo Moscheta,Brazil,1976,<https://www.artdubai.ae/gallery/galeria-vermehlo-,2019/>
Bawwaba,2022,New Delhi,Blueprint12,Vipeksha Gupta,India,1989,<https://www.artdubai.ae/gallery/blueprint12-,2022/>
Bawwaba,2022,Karachi,Canvas Gallery,Wardha Shabbir,Pakistan,1987,<https://www.artdubai.ae/gallery/canvas-,2022/>
Bawwaba,2022,Luanda,Jahmek Contemporary Art,Kiluanji Kia Henda,Angola,1979,<https://www.artdubai.ae/gallery/jahmekcontemporaryart-,2022/>
Bawwaba,2022,Lisbon,Madragoa,Rodrigo Hernández,Mexico,1983,<https://www.artdubai.ae/gallery/madragoa-,2022/>
Bawwaba,2022,New Delhi,NATURE MORTE,Mona Rai,India,1947,<https://www.artdubai.ae/gallery/nature-morte-,2022/>
Bawwaba,2022,Lagos,Rele Gallery,Tonya Nneji,Nigeria,1992,<https://www.artdubai.ae/gallery/rele-gallery-,2022/>
Bawwaba,2022,Mumbai,TARQ,Soghra Khurasani,India,1983,<https://www.artdubai.ae/gallery/tarq-2022/>,
Bawwaba,2022,New Delhi,Vadehra Art Gallery,Ranbir Kaleka,India,1953,<https://www.artdubai.ae/gallery/vadehra-art-gallery-,2022-2/>
Bawwaba,2022,Cusco,VIGIL GONZALES,José Luis Martinat,Peru,1974,<https://www.artdubai.ae/gallery/vigilgonzales-,2022/>
Bawwaba,2023,New Delhi,Blueprint12,Youdhisthir Maharjan,Nepal,1984,<https://www.artdubai.ae/gallery/blueprint12-bawwaba-,2023/>
Bawwaba,2023,Nairobi,Circle Art Gallery,Dickens Otieno,Kenya,1979,<https://www.artdubai.ae/gallery/circle-art-gallery-bawwaba-,2023/>
Bawwaba,2023,New Delhi,Exhibit 320,Gunjan Kumar,India,1980,<https://www.artdubai.ae/gallery/exhibit-320-bawwaba-,2023/>
Bawwaba,2023,New Delhi,Exhibit 320,Gunjan Kumar,India,1980,<https://www.artdubai.ae/gallery/exhibit-320-bawwaba-,2023-2/>
Bawwaba,2023,Belgrade,Hestia,Domingos Octaviano,Brazil,1985,<https://www.artdubai.ae/gallery/hestia-bawwaba-,2023/>
Bawwaba,2023,Abu Dhabi / Sharjah,Hunna Art Gallery,Performance by Moza Almatrooshi,UAE,1990,<https://www.artdubai.ae/gallery/hunna-art-gallery-bawwaba-,2023/>
Bawwaba,2023,Tehran,Navahi Projects,Siamak Filizadeh,Iran,1970,<https://www.artdubai.ae/gallery/navahi-project-bawwaba-,2023/>
Bawwaba,2023,Paris,PARLIAMENT,Achraf Touloub,Morocco,1986,<https://www.artdubai.ae/gallery/parliament-bawwaba-,2023/>
Bawwaba,2023,London / Mahshahr / Tehran,SARAI Gallery (SARADIPOUR),M. Smart,Iran,1998,<https://www.artdubai.ae/gallery/sarai-gallery-saradipour-bawwaba-,2023/>
Bawwaba,2023,Manila / New York,Silverlens Galleries,Gregory Halili,Philippines,1975,<https://www.artdubai.ae/gallery/silverlens-galleries-bawwaba-,2023/>
Bawwaba,2023,Singapore / Sydney,Yavuz Gallery,Zico Albaiquni,Indonesia,1987,<https://www.artdubai.ae/gallery/yavuz-gallery-bawwaba-,2023/>
Bawwaba,2023,Singapore,Yeo Workshop,Maryanto,Indonesia,1977,<https://www.artdubai.ae/gallery/yeo-workshop-bawwaba-,2023/>
Bawwaba,2024,New Delhi,Anant Art Gallery,Laxmipriya Panigrahi,India,1990,<https://www.artdubai.ae/gallery/anant-art-gallery-2/>,
Bawwaba,2024,Palma de Mallorca,BARÓ Galeria,Assume Vivid Astro Focus (AVAF),Brazil,2001,<https://www.artdubai.ae/gallery/baro-galeria-2024/>,
Bawwaba,2024,New Delhi,Blueprint12,Arshi Irshad Ahmadzai,India,1988,<https://www.artdubai.ae/gallery/blueprint12/>,
Bawwaba,2024,Kolkata,Emami Art,Debashish Paul,India,1994,<https://www.artdubai.ae/gallery/emami-art/>,
Bawwaba,2024,Guatemala City,GALERÍA EXTRA,Manuel Chavajay,Guatemala,1982,<https://www.artdubai.ae/gallery/extra-galeria/>,
Bawwaba,2024,New Delhi,LATITUDE 28,Manjot Kaur,India,1989,<https://www.artdubai.ae/gallery/latitude-28-24/>,
Bawwaba,2024,Montevideo,Invernizzi Art Lab,Nicolas Janowski,Argentina,1980,<https://www.artdubai.ae/gallery/invernizzi-art-lab/>,
Bawwaba,2024,Dubai,NIKA Project Space,Mirna Bamieh,Palestine,1984,<https://www.artdubai.ae/gallery/nikaprojectspace/>,
Bawwaba,2024,Lisbon,Perve Galeria,Reinata Sadimba,Mozambique,1945,<https://www.artdubai.ae/gallery/perve-galeria-bawwaba/>,
Bawwaba,2024,Florence / Milan / Pietrasanta,Secci Gallery,Abul Hisham,India,1987,<https://www.artdubai.ae/gallery/secci-gallery-2024/>,
Bawwaba,2025, Paris,Art: Concept,Kate Newby,New Zealand,1979,<https://www.artdubai.ae/gallery/art-concept/>,
Bawwaba,2025,Tbilisi,Gallery Artbeat,Nina Kintsurashvili,Georgia,1992,<https://www.artdubai.ae/gallery/gallery-artbeat/>,
Bawwaba,2025,Almaty,Aspan Gallery,Gulnur Mukazhanova,Kazakhstan,1984,<https://www.artdubai.ae/gallery/aspan-gallery/>,
Bawwaba,2025,New Delhi,Blueprint12,Kaimurai,India,1984,<https://www.artdubai.ae/gallery/blueprint-12/>,
Bawwaba,2025,Paris,Galerie Dix9,Jorge Rosano Gamboa,Mexico,1984,<https://www.artdubai.ae/gallery/galerie-dix9/>,
Bawwaba,2025,Abu Dhabi,Iris Projects,Abdullah Al Othman,Saudi Arabia,1985,<https://www.artdubai.ae/gallery/iris-projects/>,
Bawwaba,2025,Tehran,Parallel Circuit,Mohammad Piryaee,Iran,1985,<https://www.artdubai.ae/gallery/parallel-circuit/>,
Bawwaba,2025,Genoa,Pinksummer,Tomás Saraceno,Argentina,1973,<https://www.artdubai.ae/gallery/pinksummer/>,
Bawwaba,2025,Rome,Federica Schiavo Gallery,Karthik Pandian,USA,1981,<https://www.artdubai.ae/gallery/federica-schiavo-gallery/>,
Bawwaba,2025,Milan / Pietrasanta,Secci,Rember Yahuarcani,Peru,1985,<https://www.artdubai.ae/gallery/secci/>,