Title,Year,Technique,size height (cm),venue,location
Arachne or Dialectics,-1520,Fresco,??,Palazzo Ducale,"Venice, Italy"
Leda and the Swan (subject),??,Oil on canvas,??,Musée Fesch,"Ajaccio, Corsica"
The Conversion of Mary Magdalene,(1545–1548),Oil on canvas,163.5 × 117,National Gallery,London
The Temptation of St Anthony,(1552–1553),Oil on canvas,198 × 151,Musée des Beaux-Arts,Caen
Zeus ousting the Vices,(1553?),Oil on canvas,650 × 330,Louvre,Paris
St. Mark Crowning the Virtue,(1554?),Oil on canvas,330 × 317,Louvre,Paris
Coronation of the Virgin,-1555,Oil on canvas,?,San Sebastiano,Venice
La Bella Nani (Portrait of a Woman),(1555–1560?),Oil on canvas,119 × 103,Louvre,Paris
Annunciation,(1555?),Oil on canvas,193 × 291,Uffizi,Florence
Venus Disarming Cupid,(1555 c.),Oil on canvas,"62.52 x 54.49"" (158.8 x 138.4 cm)",Worcester Art Museum,"Worcester, Massachusetts[34]"
Jesus among the Doctors in the Temple,-1558,Oil on canvas,236 × 430,Prado,Madrid
Assumption of the Virgin,(1558?),Oil on canvas,340 × 455,San Giovanni e Paolo,Venice
Supper at Emmaus,1559–1560,Oil on canvas,241 × 415,Louvre,Paris
The Wedding at Cana,(1560?),Oil on canvas,207 × 457,Gemäldegalerie Alte Meister,Dresden
Portrait of a Man,(1560?),Oil on canvas,120 × 102,Museum of Fine Arts,Budapest
The Resurrection of Jesus Christ,-1560,Oil on canvas,...,San Francesco della Vigna,Venice
"Decoration of the Villa Barbaro: Bacchus Giving Wine to Men, Giustiniana Giustiniani with Her Nurse and other scenes",(1560–1561),Fresco,??,"Villa Barbaro, Maser","Maser, Treviso"
Venus and Adonis,(1561+),Oil on canvas,123 × 174,Staatliche Kunstsammlungen,Augsburg
Virgin in Glory with Saints,(1562?),Oil on canvas,??,San Sebastiano,Venice
St John the Baptist Preaching,(1562?),Oil on canvas,??,Galleria Borghese,Rome
Madonna Enthroned with Saints,(1562?),Oil on canvas,339 × 191,Gallerie dell'Accademia,Venice
The Wedding at Cana,-1563,Oil on canvas,677 × 994,Louvre,Paris
Petrobelli altarpiece,(c. 1563),Oil on canvas,Now divided,"Dulwich Picture Gallery, National Gallery of Scotland, National Gallery of Canada, Blanton Museum of Art","Ottawa, Dulwich, Edinburgh & Austin, Texas"
Holy Family and Saints (San Zaccaria Altarpiece; 1564),1564,Oil on canvas,328 × 188,Gallerie dell'Accademia,Venice
Martyrdom of St. George,-1564,Oil on canvas,426 × 305,San Giorgio in Braida,Verona
Sts. Mark and Marcellian Being Led to Martyrdom,-1565,Oil on canvas,??,San Sebastiano,Venice
Martyrdom of St. Sebastian,-1565,Oil on canvas,??,San Sebastiano,Venice
Allegory of Wisdom and Strength,-1565,Oil on canvas,214.6 × 167,Frick Collection,New York
Allegory of Virtue and Vice,-1565,Oil on canvas,219.1 x 169.5,Frick Collection,New York
The Family of Darius before Alexander,(1565–1570),Oil on canvas,236.2 × 475.9,National Gallery,London
"Madonna and Child with St. Elizabeth, the Infant St. John the Baptist, and St. Justina",(1565–1570),Oil on canvas,40-7/8 x 62-1/4 in.,Timken Museum of Art,San Diego
Portrait of Daniele Barbaro,(1565–1567),Oil on canvas,121 × 105.5,Rijksmuseum,Amsterdam
The Allegory of Love four scenes,-1570,Oil on canvas,191 × 191,National Gallery,London
The Resurrection of Christ,(1570?),Oil on canvas,136 × 104,Gemäldegalerie Alte Meister,Dresden
Die Madonna mit der Familie Cuccina,(1570?),Oil on canvas,167 × 416,Gemäldegalerie Alte Meister,Dresden
The Finding of Moses,(1570?–1575?),Oil on canvas,??,Kunsthistorisches Museum,Vienna
Bathsheba Bathing,(1575?),Oil on canvas,191 × 224,Museum of Fine Arts of Lyon,Lyon
Portrait of a Sculptor,(1550?–1585?),Oil on canvas,110.5 × 89,Metropolitan Museum of Art,New York
Battle of Lepanto,(1572?),Oil on canvas,169 × 137,Gallerie dell'Accademia,Venice
The Supper of St Gregory the Great,-1572,Oil on canvas,??,"Monte Berico, Vicenza",Vicenza
The Feast in the House of Levi,-1573,Oil on canvas,"555 × 1,280",Gallerie dell'Accademia,Venice
Adoration of the Magi,-1573,Oil on canvas,356 × 320,National Gallery,London
The Martyrdom of St. Justine,(1573?),Oil on canvas,103 × 113,Uffizi,Florence
Ceres Renders Homage to Venice,-1575,Oil on canvas,309 × 328,Gallerie dell'Accademia,Venice
Mystical Marriage of St Catherine,(1575?),Oil on canvas,337 × 241,Gallerie dell'Accademia,Venice
"Venus, Mars and Love with a Horse",(1575?),Oil on canvas,47 × 47,Galleria Sabauda,Turin
Pietà,(1576–1582),Oil on canvas,147 × 115,The Hermitage,St. Petersburg
The Resurrection of Christ,(1578?),Oil on canvas,273 × 156,"The Chapel, Chelsea and Westminster Hospital",London
Mars and Venus United by Love,(1578?),Oil on canvas,205.7 × 161,Metropolitan Museum of Art,New York
"Hermes, Herse and Aglaulus",(1576?–1584?),Oil on canvas,232.4 × 173,Fitzwilliam Museum,"Cambridge, UK"
The Rape of Europa,-1580,Oil on canvas,240 × 303,"Sala dell'Anticollegio, Doge's Palace",Venice
Venus and Adonis,-1580,Oil on canvas,212 × 191,Prado,Madrid
Venus and Adonis,(1580?),Oil on Canvas,224.5 x 168.275,Seattle Art Museum,Seattle
Christ and the Centurion,(1580?),Oil on canvas,99.2 × 130.8,Toledo Museum of Art,"Toledo, Ohio"
Lucretia,(1580s),Oil on canvas,109 × 90.5,Kunsthistorisches Museum,Vienna
Christ in the Garden Supported by an Angel,(1580?),Oil on canvas,80 × 108,Pinacoteca di Brera,Milan
St. Anthony Preaching to the Fish,(1580?),Oil on canvas,??,Galleria Borghese,Rome
The Vision of St. Helena,(1580?),Oil on canvas,166 × 134,Pinacoteca Vaticana,Rome
Judith and Holofernes,(1580?),Oil on canvas,195 × 176,Galleria di Palazzo Rosso,Genoa
The People of Myra Welcoming St. Nicholas,(1582?),Oil on canvas,diameter: 198,Gallerie dell'Accademia,Venice
Apotheosis of Venice,-1585,Oil on canvas,904 × 579,Doge's Palace,Venice
Siege of Scutari,-1585,Oil on canvas,904 × 579,Doge's Palace,Venice
The Conversion of Saint Pantaleimon,-1587,Oil on canvas,277 x 160,San Pantalon,Venice
Portrait of Agostino Barbarigo,??,Oil on canvas,60 × 48,Museum of Fine Arts,Budapest
Baptism and Temptation of Christ,??,Oil on canvas,245 × 450,Pinacoteca di Brera,Milan
Portrait of a Venetian Woman (La Bella Nani),??,Oil on canvas,117.3 × 100.8,Alte Pinakothek,Munich
Susanna in the Bath,??,Oil on canvas,198 × 198,Louvre,Paris
Penitent St. Jerome,??,Oil on canvas,80 x 95,Pavia Civic Museums,Pavia[35]
Noli me tangere,??,Oil on canvas,??,Museum of Grenoble,Grenoble
Christ Crowned with Thorns,c. 1585,Oil on canvas,75.5 x 57.3,Montreal Museum of Fine Arts,Montreal
Sitting dog,??,Oil on canvas,44 × 82,National Gallery,Oslo
Supper at Emmaus,1565–1570,Oil on canvas,66 × 79,Museum Boijmans Van Beuningen,Rotterdam
David with the Head of Goliath,-1575,Oil on canvas,??,Lobkowicz Palace,Prague
